corps,activite,produit,variete,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,15-20/20/40-50 (u),3.234704367998098,3.234704367998098,3.234704367998098,3.459972004530872,3.655227226573265,3.6050772558634354,3.795395048770362,4.055748272816137,4.3062072466071015,4.546306562530156,4.865043079567374,4.89127197591635,4.9195649999999995,4.8988605000000005,5.06159
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Agglomérés,"7,5-10 /20/40-50 (u)",2.265125256922361,2.265125256922361,2.265125256922361,2.461797809170107,2.5431795549277973,2.797497510420577,2.9500882837162443,2.9704337201556665,2.7974975104205764,2.8483611015191324,2.9224660825840054,2.945012408948084,2.9791000000000003,2.91766,3.066417
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Hourdis,12-16/20/52  (u),3.914878086398818,3.914878086398818,3.914878086398818,4.20849394287873,4.1106219907187596,4.453173823278656,4.6978537036785815,4.844661631918538,4.991469560158493,5.236149440558419,5.568656923428102,5.610388739839844,5.58081,5.58633,5.58633
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Hourdis,20/20/52 (u),4.980769989878869,4.980769989878869,5.478846988866756,5.976923987854643,5.976923987854643,6.475000986842529,6.624424086538895,6.544731766700834,6.475000986842529,6.574616386640107,6.638590021419017,6.706429471834111,6.667415,6.3738,6.3738
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Buse en béton ou PVC,D 100 à 150 mm (ml),18.181470193609478,19.25096844029239,19.785717563633842,20.85521581031675,21.92471405699966,20.320466686975298,21.81776423233137,21.12259037198748,19.46486808962897,19.785717563633845,20.816495957869584,21.143553973340175,21.557222,24.54038,25.15672
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Buse en béton ou PVC,D 200 à 300 mm (ml),37.236014760344176,39.76125722888577,40.2406008318829,38.338505047237575,39.936666803606364,38.40866887712582,38.66119312397998,37.261332725773094,35.129709401628425,34.34816948091609,35.97315405000982,36.28481216180449,36.406655,37.699785000000006,38.21749500000001
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Bordures ,T3 ou T4 (ml),35.82800089150027,37.34120156381823,37.84671500077959,37.346211021667415,35.3274969123881,34.26608567669755,36.33685396702776,37.09220193872444,36.25835524063065,38.09930473733196,40.54491523483658,40.82185957299335,41.1605185,41.361925,43.613924999999995
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Poutres préfabriquées,12-16/20 (ml),15.822388502839734,15.822388502839734,15.822388502839734,16.980570096438107,16.472433813010117,16.472433813010117,17.168370946174814,18.292906203407682,19.51243328363486,19.634385991657574,20.64959033590914,20.845103729770894,21.09026,21.25618,24.2443
Gros œuvre,Agglomérés et articles en ciment ou en PVC,Poutres préfabriquées,20/20 (ml),22.15134390397563,22.15134390397563,22.15134390397563,23.772798135013353,23.061407338214167,23.061407338214167,24.035719324644738,25.610068684770756,27.31740659708881,27.488140388320602,28.909426470272795,29.183145221679254,29.526363999999997,29.758652,33.94202
Gros œuvre,Agglomérés et articles en ciment ou en PVC,BPE,BPE (m3),808.2722952115425,858.7893136622638,909.3063321129853,858.7893136622638,858.7893136622638,818.3756989016866,833.5308044369033,825.4480814847877,823.4274007467591,828.479102591831,833.0770686308357,835.4652259988452,844.4107,864.9680000000001,917.3129999999999
Gros œuvre,Ciment,Ciment CPJ 35,CPJ 35 (t),1154.1764086298895,1154.2760784406519,1154.2760784406519,1220.9551818407726,1228.829096891011,1166.1367859213908,1210.9882007645215,1250.8561250695263,1265.806596683903,1253.8462193924015,1295.5883302355862,1310.8100907684434,1336.3829,1373.534,1394.9379999999999
Gros œuvre,Ciment,Ciment CPJ 45,CPJ 45 (t),1191.6385320755096,1191.1432542151292,1191.1432542151292,1337.25022302738,1287.7224369893293,1238.1946509512782,1233.241872347473,1284.750769827046,1302.5807728007444,1307.5335514045496,1386.419138985506,1402.5520125986434,1409.7679,1443.2220000000002,1504.4924999999998
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,6T 7x15x28 (u),1.609583571787285,1.609583571787285,1.609583571787285,1.7031640120074762,1.7967444522276674,1.7780283641836288,1.9651892446240113,1.9839053326680491,2.1055599049542977,2.152350125064393,2.148509906148621,2.131889635529562,2.1214410000000004,2.091886,2.0
Gros œuvre,Matériaux de construction en terre cuite,Briques creuses,8T (u),1.95076984496806,1.95076984496806,1.95076984496806,2.0157955064669952,2.1086893086083314,2.229451251392068,2.4616857567454087,2.248030011820336,2.2294512513920686,2.322345053533405,2.3189925937211,2.264465638618104,2.2821300000000004,2.275583,2.275583
Gros œuvre,Matériaux de construction en terre cuite,Tuiles,Traditionnel ou industriel (u),0.6003834933719301,0.6003834933719301,0.6003834933719301,0.5996111703386648,0.6476109568870888,0.6476109568870888,0.6858563215191747,0.7675331909548218,0.8152240482899397,0.87785546771287,0.8859225726916596,0.9071395860622442,0.8804735,0.8786210000000001,0.8815805000000001
Gros œuvre,Produits issus des minéraux,Sables,"Mer, Oued ou concassage (m3)",228.73759101066887,230.38132542337473,230.38132542337473,225.58028061579247,230.09277471944517,239.24974393913516,230.02153637222162,225.40381310923198,223.77689184439785,223.0888131737462,224.84367583754724,227.30973892972065,226.9714,225.64583333333337,219.75226666666666
Gros œuvre,Produits issus des minéraux,Gravettes,5/15 - 15/25 (m3),196.7814179527588,196.88614462543188,196.73952728368957,217.83147916005234,229.35141315409356,235.63501351447974,235.63501351447974,217.83147916005234,204.21701171254907,192.6970777185078,171.90061267793038,175.909951513036,176.98896,177.165,187.4865
Gros œuvre,Produits issus des minéraux,Moellons,Pierres (m3),197.64680709588723,197.64680709588723,197.64680709588723,208.62718526788095,208.62718526788095,183.92133438089505,164.705672579906,150.98019986491386,142.74491623591854,135.05865151552294,135.9103314176446,140.25194035252127,143.39518,145.9307,155.48190000000002
Gros œuvre,Acier,Acier haute adhérence ,D 8 à 10 (kg),8.537629739176529,8.537629739176529,8.537629739176529,9.025326786024495,8.587601556462687,8.713059101443537,8.149876326900879,7.988624930095433,8.50243761830881,8.477346109312643,7.970024357157249,8.00129011576236,7.9727975,8.409895,8.409895
Gros œuvre,Acier,Acier haute adhérence ,D 12 à 14 (kg),8.196264960762358,8.371051740858409,8.823771233041198,8.911628296774982,8.798884126654059,8.798884126654059,8.686139956533134,7.889167589354572,8.369962483546473,8.32002340351903,7.8566094386538605,7.980328309697334,7.940739,8.17754,8.424532500000002
Gros œuvre,Acier,Acier doux,D 6 (kg),8.405371750151902,8.405371750151902,9.394239014875655,8.405371750151902,8.108711570734775,8.108711570734775,7.812051391317651,7.960381481026212,8.355928386915714,8.257041660443338,7.903812178164919,7.957717850951431,7.945054,8.139377,8.468769
